id,Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update,Reading Link
237,Anti-Monster Force,Goaten,"1,26,479",Fantasy,9.34,129.7K,"The Anti-Monster Force -- a group of hardened mercenaries contracted by the military to combat monsters. It's not quite where Regan, an ordinary young factory worker, expected to find himself, but a drunken night out with his friend leads him to sign an enlistment form. Before he can blink, he's through boot camp and the newest member of the AMF. Despite being assigned all kinds of grueling and humiliating tasks as the newbie, Regan does his best to fulfill his duty and protect humanity from fearsome monsters!",UP EVERY SUNDAY,https://www.webtoons.com/en/fantasy/anti-monster-force/list?title_no=2970
238,Lovely Hell,Chihiro Howe,"7,92,670",Fantasy,9.09,101.8K,"Tanz, a powerful creature of pure evil, is vanished to Earth against her will. Weak and without a plan, she'll have to rely on Cain, a human, to guide her through the world and figure a way back to her home: Hell.",UP EVERY MONDAY,https://www.webtoons.com/en/fantasy/raven-saga/list?title_no=2527
239,Threads of Love,HAN KIJOO / 1,"35,758",Romance,9.73,93.3K,"Sarang Park has only one mission in life: to save her cousin, Pyeonggang, from a life-threatening illness. The only way to do so is to find Pyeonggang's ""Ondal"" -- the person Pyeonggang has been fated to be with since her previous life. But on her journey to connect her cousin with her other half, Sarang just might get tangled up in a romance of her own.",UP EVERY THURSDAY,https://www.webtoons.com/en/romance/threads-of-love/list?title_no=3337
240,Tales of Sarimin the Jinn,Titasupp,"77,659",Action,9.54,85K,"Sarimin is a jinn (spirit) who specializes in helping people get what they want at the price of their soul. In recent times, he's been down on his luck, with fewer and fewer people seeming to believe in the power of spirits. With the help of his trusted monkey, Tuyul (a money-obsessed baby spirit), and Wasa, a human soul doomed to be a servant for eternity, Sarimin attempts to get back on his feet and adapt to the modern world. In Sarimin, we follow the titular character as he attempts to tempt a new generation of humans.",UP EVERY SUNDAY,https://www.webtoons.com/en/fantasy/lovely-hell/list?title_no=3181
241,Protect the Knight,Dalbong,"32,228",Fantasy,9.58,78K,"Ye-eun is a young high schooler who fantasizes about one day having the perfect first kiss with her crush. A practice kiss on her sister's action figure, Bryk, turns her world upside down when it magically brings him to life. Bryk, a once-legendary and most definitely human knight, finds himself perplexed as to how he woke up as an action figure. Though he sets out to find the witch who he suspects is to blame, he quickly gets caught up in Ye-eun's attempts to keep her sister happy and her crush interested. Bryk and Ye-eun vow to figure out what turned him into a doll and how to return him to his world as a human man. That is, of course, if he doesn't get broken, eaten, or stolen first.",UP EVERY FRIDAY,https://www.webtoons.com/en/fantasy/protect-the-knight/list?title_no=3384
242,microHUNTER,NAGATERBANG,"47,983",Action,9.55,328.3K,"While out to get his sister's favorite snack, Baekhyeon finds himself and the people around him suddenly shrinking... to the size of ants! Now, everything from cats to robotic vacuums pose a threat to human survival. Within this chaos, everyone is given a gift -- a unique superpower and interface that lets them see data about themselves. Though it's become a dark and desperate world, Baekhyeon must put his ability and wits to the test to make it out alive and save his sister.",UP EVERY FRIDAY,https://www.webtoons.com/en/action/sarimin/list?title_no=3247
243,Smity and Majesty,B.Y / JRobin,2.4M,Comedy,9.46,115.9K,"Sparks fly when bumbling Prince Vain meets the enemy kingdom's royal blacksmith, Valka Voima. He might be visiting to broker peace, but that's all about building relationships, right? If only Valka would actually talk to him... Lucky for Vain, after a world-shaking theft threatens the fragile treaty between their kingdoms, the starcrossed Smity and Majesty are stuck on a run together! Will they be able to survive the shenanigans headed their way, or will they kill each other first?",UP EVERY SUNDAY,https://www.webtoons.com/en/action/microhunter/list?title_no=2320
244,Gul,Nekucciola,"2,23,054",Action,9.52,134.5K,"A rowdy, young, and ambitious Orc named Gul is great at three things: running, running fast, and running away. But when one misadventure brings him face to face with Wran, a mysterious Dark Elf, fate hands Gul a mission that no one else in his village could keep pace with.",UP EVERY FRIDAY,https://www.webtoons.com/en/comedy/smity-and-majesty/list?title_no=2706
245,My Roommate is a Gumiho,,1M,Romance,9.62,257.3K,"Under normal circumstances, 24-year-old Dam Lee wouldn't move in with a random guy who she just met, much less a 900-year-old one. But these aren't normal circumstances: she accidentally swallowed the bead of a gumiho (a nine-tailed fox from Korean mythology) named Wuyeo Shin, and if they don't find a way to extract the bead from her body within a year, she'll die and he'll never become human. Can Dam and Wuyeo find a way to remove the bead from Dam's body before it's too late? And will Dam ever find love, especially when her unusual circumstances restrict her dating options?","UP EVERY TUE, SAT",https://www.webtoons.com/en/romance/my-roommate-is-a-gumiho/list?title_no=2611
246,The Monster's Bride,Mel0h,1.5M,Fantasy,9.58,80.5K,"Haena has been struggling to balance life and school ever since her father disappeared after winning the lottery. But one day, the appearance of some eccentric but attractive guys shakes up her world: Chaebin Do, a popular cute guy at school and a goblin, Yamagami Onisuke, a Japanese demon known as an Oni, and Wolfgang Lucifer Junior, a wolf-boy. They ask Haena to be their bride and claim to have met her father: will she trust them? Where will these relationships lead her?",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/lone/list?title_no=1929
247,"Good Luck, Hero!",Song Hyunju,"21,232",Fantasy,9.58,57.4K,"After a great hero sacrifices himself to defeat the nefarious Demon Lord, an angel grants his wish to be reborn with his memories intact. Now known as Hero Baek, he puts his memories to use and writes a web novel depicting the story of his past life. In time, he lands a job at an entertainment company, working for the genius and intimidating CEO, Yeonhwa Do. Unbeknownst to Hero, his new boss is none other than the reincarnation of the Demon Lord. When his web novel catches her attention, the two mortal enemies appear destined to collide once again.",UP EVERY FRIDAY,https://www.webtoons.com/en/fantasy/good-luck-hero/list?title_no=3346
248,DICE,WmW / Thabfu,"5,02,325",Fantasy,9.3,1.2M,"Whether it's appearance, grades, or social life, Dongtae's at the bottom of the barrel. When popular transfer student Taebin gives him an opportunity to change all of that, Dongtae heads down a path to make things right. This is the world of DICE, where a single roll can change your fate.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/fantasy/the-wendybird/list?title_no=2546
249,Nomads,Captain Juuter,"20,926",Fantasy,9.85,46.9K,"In a world where only special people known as Nomads are allowed to travel, Lance sets out with one goal in mind: to find his missing brother. However, his journey takes an unexpected turn when he meets Satra, a wannabe Nomad with a hidden past, and Saber, a cat with mysterious powers. What starts off as great company soon turns into more than he bargained for when wanted posters start popping upâ€¦ and he's being chased by bounty hunters?!",UP EVERY FRIDAY,https://www.webtoons.com/en/fantasy/nomads/list?title_no=2732
250,The Wendybird,Hyunseok Yun,9.7M,Fantasy,8.98,176.9K,"Wendy Darling is a headstrong 17-year-old who dreams of escaping her humdrum life and strict family for a life of adventure, like the heroes in her stories. But what will she do when adventure actually comes knocking? In this retelling of Peter Pan, it's Wendy who must save Neverland from Captain Hook and the strange beasts that torment its inhabitants.",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/dice/list?title_no=64
251,Fast Forward,PORTO / Junki Hong,"3,89,239",Thriller,9.68,182.9K,"The final goal is to be the master of time. But in order to become the master, you must kill and steal. The universe has given powers to a select number of people. The only problem is, you can get your powers taken away... along with your life. The keepers of time will need to protect their powers or pay the ultimate price.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/thriller/fast-forward/list?title_no=2764
252,Nothing Special,kiki / E-um,"1,89,800",Fantasy,9.6,403.2K,"Callie thinks that in the grand scheme of the worlds at large, she's nothing special. With the unexpected addition of friendship and adventure into her life, she's about to find out that she was very, very wrong.",UP EVERY TUESDAY,https://www.webtoons.com/en/fantasy/tenants-from-another-world/list?title_no=3042
253,Tenants from Another World,Katie Cook,2.8M,Fantasy,9.21,205.8K,"Haeseo Han is an ordinary, hard-working office worker whose main concerns revolve around being overlooked for promotions, smug colleagues, and workplace stress. That is, until she finds herself intertwined in a prophecy that will determine the fate of a fantasy world! In the realm of the Beiston Empire, Haeseo is seen as the oracle who will determine the next successor to the throne and bring peace to the country. Hoping to win Haeseo's favor and become the next emperor, the three charming yet eccentric princes of Beiston cross over into Haeseo's world to begin their lives together as housemates!",UP EVERY THURSDAY,https://www.webtoons.com/en/fantasy/nothing-special/list?title_no=1188
254,Warrior of the Wild,Jingle & DOXOâ™¥ï¸ / Brian Koffler,"1,56,732",Action,9.46,106K,"Rasmira trained her whole life to become a warrior and replace her father as head of their village. But when her coming-of-age trial is sabotaged and she fails the test, she's banished to the monster-infested Wild. Her only shot at returning home and reclaiming her honor is to kill the sinister god who controls the realm , or die trying",UP EVERY WEDNESDAY,https://www.webtoons.com/en/action/warrior-of-the-wild/list?title_no=2701
255,Just Pancakes,HadeToons,2.1M,Comedy,9.66,205.1K,"Wetzel, Shelby, and Ebus may be brothers, but that doesn't mean they understand each other -- or women. Follow their wacky shenanigans as these three eccentric wizards try to run a struggling tavern on Hero's Road, file their taxes, and refill the pickle jar. Laugh so hard your lungs punch your eyeballs! Learn more about cooking than you ever wanted to know! Realize you're probably going to hell for laughing at this!","UP EVERY THU, SAT",https://www.webtoons.com/en/comedy/just-pancakes/list?title_no=1651
256,Stray Souls,Maf,1.4M,Fantasy,9.76,329.5K,"The strings that bind our souls can be used to control us...and others. While Eylin is not particularly good at string weaving, her unique soul structure does make her resistant to magical manipulation. Which, when you're the last person standing between the Amethyst King and his quest for ultimate power, is a very, very good thing...",UP EVERY SUNDAY,https://www.webtoons.com/en/fantasy/stray-souls/list?title_no=2018
257,Love Falls Like Rain,Yeri,"2,26,852",Romance,9.58,145.3K,"When Sarang discovers a mysterious yellow umbrella left by her doorstep, she doesn't think much of it. But one rainy evening she opens her umbrella and is magically transported to Albia where she runs into two men, one of whom could potentially be her soulmate. Will Sarang be able to find her true love in a foreign land on the other side of the globe?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/romance/love-falls-like-rain/list?title_no=2856
258,Athena Complex,Kaisar,2.8M,Fantasy,9.54,523.6K,"Suffering from heartbreak after being rejected by Poseidon, goddess of wisdom Athena becomes human to seek revenge... but as a high school boy. There she plots to befriend Poseidon's reincarnation, Adrian, who doesn't have the slightest clue about the world of gods. But will her sweet vengeance be thwarted by other opposing forces, or will her own one-sided love hinder her plans?",UP EVERY FRIDAY,https://www.webtoons.com/en/fantasy/athena-complex/list?title_no=867
259,Elf & Warrior,AC Stuart / Victor Rosas II,2.2M,Fantasy,9.67,228.8K,"Elf & Warrior follows the adventures of a young, optimistic Elf named Basri and his Uncle Hector, a reformed (sort of) criminal in a unique fantasy setting full of strange monsters and magic.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/fantasy/elf-and-warrior/list?title_no=908
260,Zero Game,zelbasen,2.1M,Fantasy,9.73,509.6K,"After the death of her parents, Hanna Yoo sees her life tumble out of control, until one day a mysterious email invites her to compete in Zero Game, where losing means death, but winning brings a big reward: the ability to reset your entire life and live it over againâ€¦this time without all the pain and suffering. In Zero Game, Hanna faces danger everywhere. But who can she trust? And how is her deceased father involved? Rivals beware: she may seem like a noobâ€¦but inside Zero Game, you underestimate Hanna Yoo at your own risk.",UP EVERY TUESDAY,https://www.webtoons.com/en/fantasy/zero-game/list?title_no=1704
261,Trailer Park Warlock,Matthew J. Rainwater,"5,75,048",Comedy,9.3,96K,"Jake Baker, the working class warlock, struggles to make ends meet. But with the help of his friends and some down-home DIY magick, he might just keep chaos at bay, and pay his lot fees too...",UP EVERY FRIDAY,https://www.webtoons.com/en/comedy/trailer-park-warlock/list?title_no=1512
262,Fluffy Boyfriend,Mihi,4.6M,Supernatural,9.13,1.3M,"A cursed girl's life changes forever when her cat, who lived with her quietly for a long time, shows her his real human form. Fluffy Boyfriend is a love story in a world of half-animal humans secretly living in plain sight.",UP EVERY SATURDAY,https://www.webtoons.com/en/supernatural/fluffy-boyfriend/list?title_no=1164
263,Kubera,Currygom,3.3M,Fantasy,9.7,231.6K,"When Kubera loses her entire village on her 16th birthday, her salvation comes in the form of the magician, Asha. Together they journey through a world of Gods and Suras, magicians and pure-bloods. Intent on solving the mystery behind her past, Kubera may also hold the key to changing the world.",UP EVERY MONDAY,https://www.webtoons.com/en/fantasy/kubera/list?title_no=83
264,Guardians of the Video Game,Jeong Summer,"2,434",Sci-fi,9.09,56.9K,"Within the wires and pixels of your favorite video game lies an unsuspecting protector. Patch is the top guardi-agent at the Guardians of the Video Game Corporation, working hard to keep games running at all costs. That is, until his promotion is ruined by office politics and he's assigned to the obsolete Classic Games department. Nevertheless, Patch is determined to fulfill his responsibilities as a guardian.",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/eyes/list?title_no=3386
265,Denma,Gasfard,"3,99,721",Sci-fi,8.95,79.7K,"Dike the Invincible Death is the #1 target for bounty hunters across planet Urano. After getting drugged by a mysterious woman in a bar, Dike wakes up in the body of Denma, a 12-year-old space courier. With Denma's powers as a Quanx, he journeys across the galaxy fighting futuristic societies, flying spaceships, and foiling insidious plots, all to get his body back.","UP EVERY WED, THU, FRI, SAT, SUN",https://www.webtoons.com/en/sf/guardians-of-the-video-game/list?title_no=368
266,Eyes,Youngsoon Yang,2.4M,Fantasy,9.61,8.1K,"""Juan Seo"" is a high school student who was born with just one eye. He has an uncanny feeling that someone is watching him every day at school. Even though he's scared to death, Juan can't help but be curious... Until one day, he learns of the ""avian humanoids"" and falls into a state of great confusion. In the midst of this blood curdling tension, the war of the avian humanoids is set in motion!",UP EVERY SATURDAY,https://www.webtoons.com/en/sf/denma/list?title_no=921
267,Trump,Chaeeun Lee,1.6M,Fantasy,9.54,350K,"On February 29th, children under the age of 14 are said to have their wishes granted on a day known as Melly Day. In a world where humans are said to be blessed by the gods, Hiasen has been granted the ability to manipulate mana in his dreams... but all he really wants is to see his mother again. When his wish is granted on Melly Day, the world as he knows it changes forever.",UP EVERY MONDAY,https://www.webtoons.com/en/fantasy/trump/list?title_no=84
268,Noblesse: Rai's Adventure,Jeho Son / Kwangsu Lee,"3,01,953",Action,9.83,372.4K,"Rai, the noblest of all vampires, wakes up from 820-years long sleep and starts his new life as a student in a high school founded by his loyal servant, Frankenstein. But his peaceful days with other human students are soon interrupted by mysterious attackers known as the ""Unions"".",COMPLETED,https://www.webtoons.com/en/action/noblesse-spin-off/list?title_no=608
269,Super Secret,eon,11.4M,Romance,9.83,1.7M,"You know that one close friend who takes care of you as if they were your own mother? For Emma, that friend is Ryan. He's the boy next door with a super secret -- he's actually a werewolf with a supernatural family. Will he be able to keep up the act hiding his true identity from his long-time friend?",COMPLETED,https://www.webtoons.com/en/romance/super-secret/list?title_no=666
270,Mosquito Wars,JH,"4,88,682",Sci-fi,9.62,119K,"One hundred years after mosquitoes have evolved into the strongest predators on Earth, only 5,000 humans remain. Mankind's last hope -- an elite team of special soldiers -- races to save the day. Will they obtain the secret research that may give humanity a fighting chance against the mosquitoes before it's too late?",COMPLETED,https://www.webtoons.com/en/sf/mosquito-wars/list?title_no=2404
271,ORANGE MARMALADE,Seokwoo,4.7M,Romance,9.68,987.3K,People are no longer afraid of vampires but that doesn't stop humans from discriminating against them. Can Mari Baek hide her identity when she falls in love with a popular boy who hates vampires?,COMPLETED,https://www.webtoons.com/en/romance/orange-marmalade/list?title_no=97
272,The Wolf & Red Riding Hood,XUANN,3.4M,Comedy,9.63,616.5K,"High school student Anna wakes up one day to find that she's super hairy, incredibly strong, and craves meat all the time. Her mom thinks it's pubertyâ€¦ until Anna grows ears and a tail. Definitely not puberty. Can she figure out how to stop herself from becoming a werewolf before the full moon?",COMPLETED,https://www.webtoons.com/en/comedy/wolf-and-red-riding-hood/list?title_no=2142
273,GOSU,Giun Ryu / Mun Jeong Hoo,6M,Action,9.85,702.8K,"When his master dies, Gang Yong pledges to avenge his teacher at all costs. After training his martial arts skills in seclusion, Gang Yong sets off to hunt down the traitors and make them pay! But when he gets to town, he discovers they're... already dead? Well, what's he supposed to do now?!",COMPLETED,https://www.webtoons.com/en/action/gosu/list?title_no=1099
274,Siren's Lament,instantmiso,22.3M,Romance,9.75,3M,"Content with her ordinary life, Lyra is somewhat of a wallflower. However, her comfortable lifestyle suddenly goes astray when she accidentally plunges into the world of sirens. Entangled in a curse, Lyra will learn that her world may be a lot bigger than she had ever imagined.",COMPLETED,https://www.webtoons.com/en/romance/sirens-lament/list?title_no=632
275,Noblesse,Jeho Son / Kwangsu Lee,19.5M,Action,9.77,1.7M,"Rai wakes up from an 820-year-long sleep and starts his new life as a student in a high school founded by his loyal servant, Frankenstein. But his peaceful days with other human students are soon interrupted by mysterious attackers known as the ""Unions.""",COMPLETED,https://www.webtoons.com/en/action/noblesse/list?title_no=87
276,Cape of Spirits,Kris Nguyen,2.1M,Action,9.5,514.5K,"A former heir to the throne, Jinsei Kimura is now a fugitive on the run from the very empire he once called home. Now, to clear his name, Jinsei must fight alongside a team once sworn to deliver his head , working together to uncover the truth behind the coins that power their civilization. In a world without trust, where long-time allies are now enemies, can Jinsei harness the power of the Spirit Coins to find his own personal redemption?",COMPLETED,https://www.webtoons.com/en/action/cape-of-spirits/list?title_no=1559
277,Rise from Ashes,Madeleine Rosca,4.1M,Supernatural,9.7,738K,"The living and the dead have coexisted for a millennia, overseen by the Red Crows, a conclave of mediums who have power over the spirit world. However, in the early twentieth century, change is afootâ€¦and a coming world war threatens the balance between mortals and ghosts! In the midst of this upheaval, one small ghost merely wishes to be left alone, and haunt her abandoned house in peace. But even the dead can have a great destiny that calls...",COMPLETED,https://www.webtoons.com/en/supernatural/rise-from-ashes/list?title_no=959
278,Crumbs,Whitherling,1.6M,Romance,9.69,290.2K,"In a very special town, there's a very unusual bakery where the house specialty is a selection of baked treats hand-crafted to help you make your dreams come true , whether you need inspiration, support or confidence, they've got a cake or muffin fresh-made with magic to meet your needs. But for Ray, a quiet young woman with special powers of her own, the order is always the same: a hot tea with a delicious side of romance.",COMPLETED,https://www.webtoons.com/en/romance/crumbs/list?title_no=1648
279,Aerial Magic,walkingnorth,1.5M,Fantasy,9.68,485.8K,The daily life of an apprentice witch.,COMPLETED,https://www.webtoons.com/en/fantasy/aerial-magic/list?title_no=1358
280,Phantom Paradise,Rurisen (L. Zhu),3.3M,Fantasy,9.49,616.8K,"A male concubine climbs his way up in the imperial harem of Phantom Paradise, hiding an ulterior motive.",COMPLETED,https://www.webtoons.com/en/fantasy/phantom-paradise/list?title_no=1250
281,Dragnarok: Descendants,KPJ / Magmi,"3,42,838",Fantasy,9.34,211.4K,"Chosen by the dragon gods, Kirym, a man who wields great power, must go on a quest to save his family, his country, and his way of life. Up against a rogue dragon god and flesh eating monsters, Kirym and his friends must race against time... or lose everything.",COMPLETED,https://www.webtoons.com/en/fantasy/dragnarok-descendants/list?title_no=1433
282,For the Sake of Sita,Haga,"3,21,269",Romance,9.53,247.6K,"A medical student passionately falls in love with a fallen goddess during his volunteer abroad in Nepal, and he desperately tries to fight off destiny to save his love.",COMPLETED,https://www.webtoons.com/en/romance/for-the-sake-of-sita/list?title_no=349
283,Catharsis,Ahniki,3.1M,Fantasy,9.56,611.4K,"Fear is a powerful emotion that can end up overtaking one's life. Leon thought he knew that. But when he's thrown into the demonic realm that Catharsis governs over, he'll learn that there is more to ""true"" fear than he could ever have imagined... But will he learn how to face it?",COMPLETED,https://www.webtoons.com/en/fantasy/catharsis/list?title_no=396
284,Newman,Josh Ulrich,2.5M,Fantasy,9.73,192.9K,"This isn't your average workplace relationship. It's not every day you fall for a girl who accidentally turns you into her love slave, but that's not half as scary as meeting her mother. Oh, and did we mention the monsters? There's lots of those.",COMPLETED,https://www.webtoons.com/en/fantasy/newman/list?title_no=405
285,Your Adventure,Chris McCoy,"1,49,983",Comedy,9.15,46.3K,"""Your Adventure"" is a comic where YOU decide what happens!",COMPLETED,https://www.webtoons.com/en/comedy/your-adventure/list?title_no=506
286,DON'T HATE,Pink_Alien,4.1M,Comedy,9.35,267.5K,"After the devastation of WWIV, humans have become virtually extinct and left the rest of the animal kingdom for themselves. Several decades of evolution later, the animals have grown in both population and human-like intelligence. Bucky is the last human on earth, and not everyone is a fan of his human history. He faces constant harassment and discrimination from his animal classmates to which he dreams of eradicating. It's not until he saves an all-powerful killer whale that his simple act of kindness becomes an endless cycle of pandemonium.",COMPLETED,https://www.webtoons.com/en/comedy/dont-hate/list?title_no=1574
287,Refund High School,LICO,11.6M,Fantasy,9.76,1.2M,High-schooler Aru's dream of becoming an idol is cut short after dying in a car crash on her way to school. She finds herself being offered the option to be reincarnated into a fish... or attend Refund High School in the Underworld to change her fate. Will Aru be able to earn enough karma to reincarnate as the ideal version of herself?,COMPLETED,https://www.webtoons.com/en/fantasy/refundhighschool/list?title_no=1360
288,The Steam Dragon Express,Merryweather / Porforever,2.9M,Fantasy,9.64,320.1K,The Steam Dragon Express is a magical flying academy,COMPLETED,https://www.webtoons.com/en/fantasy/steam-dragon-express/list?title_no=1270
289,Nightmare Factory,Snailords,3M,Thriller,9.5,596.9K,"A lonely insomniac writer fills her room with stories of strangers she eventually encounters. Her family vanishes overnight. The only evidence of their existence is her memories. To make sense of her world and why the stories are written, her newly encountered friend and herself will read through a library worth of her handcrafted books, filled with tales of fantasy and adventures.",COMPLETED,https://www.webtoons.com/en/thriller/nightmare-factory/list?title_no=616
290,April Flowers,ccustard,1.3M,Fantasy,9.48,385.1K,"Ghosts and demons roam the earth, and it's up to exorcists to stop them. Powerful, fearless, and courageous- it's April's dream to become an exorcist, and when she's admitted into Elden Academy, the top school for exorcism, she's more than excited to start. However, the appearance of an unexpected roommate reveals the secrets and lies that lay within the world of ghost hunting.",COMPLETED,https://www.webtoons.com/en/fantasy/april-flowers/list?title_no=1363
291,Flow,Honey B,2.8M,Fantasy,9.76,695.4K,A fantasy comic about a boy's destiny that starts to change as he receives a gift from his guardian god.,COMPLETED,https://www.webtoons.com/en/fantasy/flow/list?title_no=101
292,Hellper,SAKK,"9,65,368",Fantasy,9.73,163.4K,"When the leader of a biker gang dies and finds himself with a ticket to Hell, he sets out on a quest to change his fate. He needs to collect 100 black bracelets of other condemned souls to qualify for reincarnation.",COMPLETED,https://www.webtoons.com/en/fantasy/hellper/list?title_no=185
293,Snailogy,Snailords,2.4M,Slice of life,9.44,341.2K,"I like writing jokes people don't laugh at. Lighthouse for lost souls with social anxiety, depression, gender dysphoria...and more.",COMPLETED,https://www.webtoons.com/en/slice-of-life/snailogy/list?title_no=387
294,FLOWAR,Hongjacga,"2,23,996",Sci-fi,9.47,77.3K,"""Wake up."" These are the words Sora Han hears right before her heart stops and then begins to beat again. The first and only person in the world to successfully have a plant heart transplant, Sora has felt an inexplicable pull to go to outer space ever since her operation. At 25 years old, she finally gets the chance. But why does everything on the planet she travels to seem familiar? Sora learns more about herself on this journey than she could have ever imagined.",COMPLETED,https://www.webtoons.com/en/sf/flowar/list?title_no=2403
295,UnderPrin,smbryms,2.6M,Supernatural,9.28,570.9K,"Jin is a famous singer whose true identity is Lord Perdien, the legendary demon lord. Having withheld his secret for years to give his son Mi-Ryu a normal life in the human world, he is forced to take action when Mi-Ryu is threatened. Now that his demonic powers have been awakened, Jin will fight anything to protect his son.",COMPLETED,https://www.webtoons.com/en/supernatural/underprin/list?title_no=78
296,LESSA,POGO,"5,33,002",Action,9.73,205.2K,"There are attacks everyday and people suddenly changed into Deman. But I... should look for my sister; also, the Gods are here to help humans to prevent the attacks.",COMPLETED,https://www.webtoons.com/en/action/lessa/list?title_no=89
297,Strawberry Seafoam,Bryan Golden,2M,Fantasy,9.27,379.6K,Frasei is shy young mermaid who attends the prestigious Delphic Academy to learn sea magic. But everything changes when she discovers a unique calling!,COMPLETED,https://www.webtoons.com/en/fantasy/strawberry-seafoam/list?title_no=1248
298,Falling in the Blue,SimzArt,"1,28,748",Sci-fi,9.32,88.3K,"Special delivery to planet Mars! Intergalactic delivery service Warp Inc. is expanding into the outerreaches, and someone has to drive the long-haul trips. But will two kids and a Kiwi bird in a broke-down spaceship really be able to make their delivery deadlines on time? And, more importantly, will they be able to uncover the sinister plot hidden inside their classic cardboard boxes before it's too late for them...and the universe?",COMPLETED,https://www.webtoons.com/en/sf/falling-in-the-blue/list?title_no=2291
299,LESSA 2 - The Crimson Knight,POGO,"8,06,466",Action,9.79,164.8K,"There are attacks everyday and people suddenly changed into Deman. But I... should look for my sister; also, the Gods are here to help humans to prevent the attacks.",COMPLETED,https://www.webtoons.com/en/action/lessa-2/list?title_no=507
300,Dents,Beth Behrs & Matt Doyle / Sid Kotian,"8,47,763",Sci-fi,9.47,253.4K,"Dents is an apocalyptic journey to the year 2111, where more than half of the world's population has been wiped out by an ancient plague. After a vaccination is developed, there is a massive increase in the birth of identical twins possessing extraordinary powers, known in society as ""Dents."" Following an incident at school, Eleanor learns that she herself is a Dent, separated from her twin at birth, and is quickly swept into an underground society of other Dents trying to survive.",COMPLETED,https://www.webtoons.com/en/sf/dents/list?title_no=671
301,ROB,Richard Dinnick / Magda Price & Miguel Sepulveda,"60,367",Fantasy,8.77,56.1K,"When war threatens to destroy his nation's entire way of life, a young squire named Rob knows just the thing to do: steal a weapon from the Timeless Armory. The only thing standing between him and victory is thousands of miles, sinister knights, crooked elites and enemy assassins. Will he make it back in time to stop the invaders, or will he be vanquished along the way?",COMPLETED,https://www.webtoons.com/en/fantasy/rob/list?title_no=2479
302,Brothers Bond,Kevin Grevioux / Ryan Benjamin,"1,39,498",Action,9.1,104.6K,"An exiled prince and his two blind samurai protectors set on a dangerous journey to reclaim their
 kingdom from demonic forces.",COMPLETED,https://www.webtoons.com/en/action/brothersbond/list?title_no=1458
303,1000,Chuck Brown / Sanford Greene,"78,037",Action,8.98,102.7K,"Set in a modern world of aliens, warlocks, zombies, and ancient beasts, ""1000"" follows Dragon Son - a supreme entity who's abandoned all creation as he struggles to return to his true Dragon form by completing 1,000 acts of repentance. Son is joined by five other agents who are charged with secretly policing the world and keeping civilization from crumbling completely.",COMPLETED,https://www.webtoons.com/en/action/one-thousand/list?title_no=1217
304,SOUL CARTEL,Haram / Youngji Kim,1.2M,Fantasy,9.7,224.4K,"When Shihoon was a child, his exorcist parents vanished in a fight with underworld spirits. After Shihoon has a chance encounter with the devil Mephisto, he somehow ends up contracted as the next judge for the legendary fight between archdevil Mephisto and the human, Faust. Along with his exorcist older sister, Shihoon enters the underworld to fulfill his contract and search for clues of his parents' disappearance.",COMPLETED,https://www.webtoons.com/en/fantasy/soul-cartel/list?title_no=72
305,Messenger,Paul Tobin / Ray Nadine,"7,05,384",Fantasy,9.25,97.4K,"Dare Crilley is a bike messenger, and is utterly unsurpassed. She scoffs at bad weather, traffic is barely an obstacle, and she's never even missed a delivery. That's good, because Dare is about to discover her mysterious new client is literally divine, and that a dispute between the gods means the fate of the universe rests on a series of increasingly more difficult bicycle deliveries. Will Dare fail on any of these fateful missions? Can she assemble all the parts for the Legendary Divine Bicycle? One thing's for sure, Dare never backs down when it's time to deliver.",COMPLETED,https://www.webtoons.com/en/fantasy/messenger/list?title_no=1382
306,Helios:Femina,Michelle Phan,"2,96,855",Fantasy,8.73,208.4K,"With no knowledge of her birthright, Rhea Oribel, a young songstress of celestial origin, awakens her true calling.",COMPLETED,https://www.webtoons.com/en/fantasy/helios-femina/list?title_no=638
307,Ghosts Among the Wild Flowers,Ghost Wintersnow,"4,47,176",Fantasy,9.6,120.7K,Â¨Ghosts among the wildflowersÂ¨ is a webcomic about a group of strangers coming together to search for a treasure they arent sure even exists.,COMPLETED,https://www.webtoons.com/en/fantasy/ghosts-over-wild-flowers/list?title_no=718
308,Shadow Pirates,Sean Galloway / â€‹ Ian Hopps / Leonel Castellani,"49,522",Fantasy,9.19,45.6K,"The Shadow Pirates are the new sheriff in town. Beware all evildoers. This ragtag group of heroes will do whatever it takes to protect their majestic, underwater city and the inhabitants of Old San Diego. You haven't seen justice served until you see the Shadow Pirates lay down the law.",COMPLETED,https://www.webtoons.com/en/fantasy/shadow-pirates/list?title_no=1455
309,Fantasy Sketch - The Game,Jaekyeong Um / Beom Sick Cheon,"94,845",Sci-fi,8.79,50.7K,This video game would take you to the bottom of the world.,COMPLETED,https://www.webtoons.com/en/sf/fantasy-sketch/list?title_no=1020
